Date,Category,Amount
4/1,chipotle,13.27
4/1,food,6.63
4/1,food,5.29
4/1,food,1.37
4/1,food,9.36
4/1,gas,33.93
4/1,food,54.37
4/2,food,4.98
4/2,chipotle,12.42
4/2,food,8.73
4/2,food,9.26
4/2,food,7.19
4/3,food,45.88
4/3,food,29.29
4/3,food,13.45
4/3,food,13.32
4/4,chipotle,16.9
4/4,groceries,20.0
4/4,food,26.24
4/5,venmo,23.69
4/5,venmo,63.86
4/5,food,18.45
4/5,food,4.93
4/5,food,16.4
4/7,chipotle,12.8
4/7,food,18.45
4/7,food,15.41
4/7,food,4.33
4/8,gas,28.8
4/8,groceries,79.27
4/8,food,7.5
4/8,food,11.11
4/10,groceries,28.77
4/10,food,8.99
4/10,parking,20.0
4/11,food,17.97
4/11,food,10.91
4/12,food,8.24
4/12,groceries,10.39
4/14,chipotle,22.76
4/14,food,5.82
4/14,electronics,26.43
4/14,chipotle,15.09
4/14,food,50.73
